Time:,0:29:06.187094
MSE,H1,H2
0.0457757972273216,2,2
0.06613145427000264,2,4
0.05607542277942118,2,6
0.05481591809135438,2,8
0.057015251810773986,2,10
0.05152608665353897,2,12
0.04372650382751319,2,14
0.039284662273509754,2,16
0.055952843389052695,2,18
0.04873072039052355,2,20
0.04393474360551081,4,2
0.07880866662904004,4,4
0.03642591364567197,4,6
0.04520115834054057,4,8
0.04120052859404135,4,10
0.035973234221877065,4,12
0.11991520782654835,4,14
0.039039697971974735,4,16
0.059444951066360795,4,18
0.035766445108539796,4,20
0.0529826367658393,6,2
0.04778366287559694,6,4
0.07706360078950872,6,6
0.11826302722407353,6,8
0.0821206292738998,6,10
0.04074155965351882,6,12
0.05427575904429395,6,14
0.06486377093320796,6,16
0.055681795959330024,6,18
0.07239997079620454,6,20
0.14062695027326347,8,2
0.09418016273044484,8,4
0.09021356932454266,8,6
0.04657256230454905,8,8
0.07921820203679235,8,10
0.1326973174195048,8,12
0.07255198545815339,8,14
0.1406295641998809,8,16
0.14805104309248424,8,18
0.0889216657439524,8,20
0.07602049061877739,10,2
0.049947479065835396,10,4
0.17338521135986107,10,6
0.07181300818817786,10,8
0.05953310802647524,10,10
0.07950153799382403,10,12
0.05861488397555571,10,14
0.23081751058680505,10,16
0.3759942810980216,10,18
0.0682758565732139,10,20
0.06471285875738222,12,2
0.4235634281372761,12,4
0.11394833498188134,12,6
0.34877145650951097,12,8
0.16721154772451446,12,10
0.2356038342748727,12,12
0.24626216637285633,12,14
0.08553986818217808,12,16
0.06920871992959597,12,18
0.10728969016862444,12,20
0.06797556231446705,14,2
0.13183750943633946,14,4
0.04376013546213631,14,6
0.3821495972612797,14,8
0.11489604680450335,14,10
0.21738131093551222,14,12
0.0994230696722109,14,14
0.050647961662329294,14,16
0.163805618329554,14,18
0.07110337979309184,14,20
0.0665968879897189,16,2
0.36572891701991417,16,4
0.14215203676216837,16,6
0.19557499753171112,16,8
0.21974037433629337,16,10
0.18477386731221807,16,12
0.10054215991703903,16,14
0.1950907260394027,16,16
0.15675134086619952,16,18
0.08267300478442671,16,20
0.21155790167356503,18,2
0.12212847018544762,18,4
0.12407013556569146,18,6
0.1366816631133908,18,8
0.5182259435100943,18,10
0.18147936847119792,18,12
0.19347598029879529,18,14
0.07203805206945406,18,16
0.10634315513976891,18,18
0.17419716242806363,18,20
0.2845571469981727,20,2
0.09712295913149636,20,4
0.399578683444839,20,6
0.16506205229897747,20,8
0.15116900813051168,20,10
0.13252790576460147,20,12
0.12889658764586576,20,14
0.08908578768556512,20,16
0.08841804496857018,20,18
0.20923029399579868,20,20
